Number,Speaker,WordCount,Positive,Negative,LanPos,LanNeg,PortPos,PortNeg,SnowPos,SnowNeg
143,lehrer,10,1,0,4,0,3,0,3,0
144,obama,22,5,0,9,2,7,0,7,0
145,lehrer,8,0,0,2,0,1,0,1,0
146,obama,85,6,1,20,7,12,3,12,3
147,lehrer,2,0,0,1,0,0,0,0,0
148,obama,135,13,2,29,10,24,3,24,3
149,lehrer,5,0,0,1,0,1,0,1,0
150,romney,171,19,1,41,18,31,9,32,9
151,lehrer,23,1,2,2,5,2,3,2,3
152,obama,4,1,0,1,0,1,0,1,0
153,lehrer,48,2,2,10,9,6,5,6,5
154,romney,34,1,0,11,5,6,2,6,2
155,lehrer,1,0,0,0,0,0,0,0,0
156,romney,66,8,2,20,14,12,6,11,6
157,lehrer,1,1,0,1,0,1,0,1,0
158,romney,23,2,3,9,4,6,3,6,3
159,lehrer,2,0,0,0,0,0,0,0,0
160,obama,155,14,6,40,21,24,14,24,15
161,lehrer,1,1,0,1,0,1,0,1,0
162,obama,23,2,1,4,6,3,1,3,1
163,lehrer,18,0,0,5,3,2,2,2,2
164,obama,202,30,7,62,25,44,15,45,15
165,lehrer,5,0,0,1,1,1,1,1,1
166,romney,224,19,6,56,35,42,14,42,15
